A, Index, Time
1031, 1031, 34
1032, 1032, 34
1033, 1033, 194
1034, 1034, 34
1035, 1035, 34
1036, 1036, 34
1037, 1037, 36
1038, 1038, 34
1039, 1039, 34
1040, 1040, 34
1041, 1041, 194
1042, 1042, 34
1043, 1043, 34
1044, 1044, 34
1045, 1045, 36
1046, 1046, 34
1047, 1047, 34
1048, 1048, 34
1049, 1049, 194
1050, 1050, 34
1051, 1051, 34
1052, 1052, 34
1053, 1053, 36
1054, 1054, 34
1055, 1055, 34
1056, 1056, 34
1057, 1057, 194
1058, 1058, 34
1059, 1059, 34
1060, 1060, 34
1061, 1061, 36
1062, 1062, 34
1063, 1063, 34
1064, 1064, 34
1065, 1065, 193
1066, 1066, 34
1067, 1067, 34
1068, 1068, 34
1069, 1069, 36
1070, 1070, 34
1071, 1071, 34
1072, 1072, 34
1073, 1073, 193
1074, 1074, 34
1075, 1075, 34
1076, 1076, 34
1077, 1077, 36
1078, 1078, 34
1079, 1079, 34
1080, 1080, 34
1081, 1081, 194
1082, 1082, 34
1083, 1083, 34
1084, 1084, 34
1085, 1085, 36
1086, 1086, 34
1087, 1087, 34
1088, 1088, 34
1089, 1089, 185
1090, 1090, 34
1091, 1091, 34
1092, 1092, 34
1093, 1093, 36
1094, 1094, 34
1095, 1095, 34
1096, 1096, 34
1097, 1097, 185
1098, 1098, 34
1099, 1099, 34
1100, 1100, 34
1101, 1101, 36
1102, 1102, 34
1103, 1103, 34
1104, 1104, 34
1105, 1105, 185
1106, 1106, 34
1107, 1107, 34
1108, 1108, 34
1109, 1109, 36
1110, 1110, 34
1111, 1111, 34
1112, 1112, 34
1113, 1113, 185
1114, 1114, 34
1115, 1115, 34
1116, 1116, 34
1117, 1117, 36
1118, 1118, 34
1119, 1119, 34
1120, 1120, 34
1121, 1121, 185
1122, 1122, 34
1123, 1123, 34
1124, 1124, 34
1125, 1125, 36
1126, 1126, 34
1127, 1127, 34
1128, 1128, 34
1129, 1129, 186
1130, 1130, 34
1131, 1131, 34
1132, 1132, 34
1133, 1133, 36
1134, 1134, 34
1135, 1135, 34
1136, 1136, 34
1137, 1137, 184
1138, 1138, 34
1139, 1139, 34
1140, 1140, 34
1141, 1141, 36
1142, 1142, 34
1143, 1143, 34
1144, 1144, 34
1145, 1145, 184
1146, 1146, 34
1147, 1147, 34
1148, 1148, 34
1149, 1149, 36
1150, 1150, 34
1151, 1151, 34
1152, 1152, 34
1153, 1153, 194
1154, 1154, 34
1155, 1155, 34
1156, 1156, 34
1157, 1157, 36
1158, 1158, 34
1159, 1159, 34
1160, 1160, 34
1161, 1161, 194
1162, 1162, 34
1163, 1163, 34
1164, 1164, 34
1165, 1165, 36
1166, 1166, 34
1167, 1167, 34
1168, 1168, 34
1169, 1169, 194
1170, 1170, 34
1171, 1171, 34
1172, 1172, 34
1173, 1173, 36
1174, 1174, 34
1175, 1175, 34
1176, 1176, 34
1177, 1177, 194
1178, 1178, 34
1179, 1179, 34
1180, 1180, 34
1181, 1181, 36
1182, 1182, 34
1183, 1183, 34
1184, 1184, 34
1185, 1185, 195
1186, 1186, 34
1187, 1187, 34
1188, 1188, 34
1189, 1189, 36
1190, 1190, 34
1191, 1191, 34
1192, 1192, 34
1193, 1193, 194
1194, 1194, 34
1195, 1195, 34
1196, 1196, 34
1197, 1197, 36
1198, 1198, 34
1199, 1199, 34
1200, 1200, 34
1201, 1201, 193
1202, 1202, 34
1203, 1203, 34
1204, 1204, 34
1205, 1205, 36
1206, 1206, 34
1207, 1207, 34
1208, 1208, 34
1209, 1209, 193
1210, 1210, 34
1211, 1211, 34
1212, 1212, 34
1213, 1213, 36
1214, 1214, 34
1215, 1215, 34
1216, 1216, 34
1217, 1217, 185
1218, 1218, 34
1219, 1219, 34
1220, 1220, 34
1221, 1221, 36
1222, 1222, 34
1223, 1223, 34
1224, 1224, 34
1225, 1225, 185
1226, 1226, 34
1227, 1227, 34
1228, 1228, 34
1229, 1229, 36
1230, 1230, 34
1231, 1231, 34
1232, 1232, 34
1233, 1233, 185
1234, 1234, 34
1235, 1235, 34
1236, 1236, 34
1237, 1237, 36
1238, 1238, 34
1239, 1239, 34
1240, 1240, 34
1241, 1241, 186
1242, 1242, 34
1243, 1243, 34
1244, 1244, 34
1245, 1245, 36
1246, 1246, 34
1247, 1247, 34
1248, 1248, 34
1249, 1249, 184
1250, 1250, 34
1251, 1251, 34
1252, 1252, 34
1253, 1253, 36
1254, 1254, 34
1255, 1255, 34
1256, 1256, 34
1257, 1257, 185
1258, 1258, 34
1259, 1259, 34
1260, 1260, 34
1261, 1261, 36
1262, 1262, 34
1263, 1263, 34
1264, 1264, 34
1265, 1265, 184
1266, 1266, 34
1267, 1267, 34
1268, 1268, 34
1269, 1269, 36
1270, 1270, 34
1271, 1271, 34
1272, 1272, 34
1273, 1273, 186
1274, 1274, 34
1275, 1275, 34
1276, 1276, 34
1277, 1277, 36
1278, 1278, 34
1279, 1279, 34
1280, 1280, 34
1281, 1281, 194
1282, 1282, 34
1283, 1283, 34
1284, 1284, 34
1285, 1285, 36
1286, 1286, 34
1287, 1287, 34
1288, 1288, 34
1289, 1289, 194
1290, 1290, 34
1291, 1291, 34
1292, 1292, 34
1293, 1293, 36
1294, 1294, 34
1295, 1295, 34
1296, 1296, 34
1297, 1297, 194
1298, 1298, 34
1299, 1299, 34
1300, 1300, 34
1301, 1301, 36
1302, 1302, 34
1303, 1303, 34
1304, 1304, 34
1305, 1305, 194
1306, 1306, 34
1307, 1307, 34
1308, 1308, 34
1309, 1309, 36
1310, 1310, 34
1311, 1311, 34
1312, 1312, 34
1313, 1313, 194
1314, 1314, 34
1315, 1315, 34
1316, 1316, 34
1317, 1317, 36
1318, 1318, 34
1319, 1319, 34
1320, 1320, 34
1321, 1321, 194
1322, 1322, 34
1323, 1323, 34
1324, 1324, 34
1325, 1325, 36
1326, 1326, 34
1327, 1327, 34
1328, 1328, 34
1329, 1329, 195
1330, 1330, 34
1331, 1331, 34
1332, 1332, 34
1333, 1333, 36
1334, 1334, 34
1335, 1335, 34
1336, 1336, 34
1337, 1337, 195
1338, 1338, 34
1339, 1339, 34
1340, 1340, 34
1341, 1341, 36
1342, 1342, 34
1343, 1343, 34
1344, 1344, 34
1345, 1345, 186
1346, 1346, 34
1347, 1347, 34
1348, 1348, 34
1349, 1349, 36
1350, 1350, 34
1351, 1351, 34
1352, 1352, 34
1353, 1353, 185
1354, 1354, 34
1355, 1355, 34
1356, 1356, 34
1357, 1357, 36
1358, 1358, 34
1359, 1359, 34
1360, 1360, 34
1361, 1361, 186
1362, 1362, 34
1363, 1363, 34
1364, 1364, 34
1365, 1365, 36
1366, 1366, 34
1367, 1367, 34
1368, 1368, 34
1369, 1369, 186
1370, 1370, 34
1371, 1371, 34
1372, 1372, 34
1373, 1373, 36
1374, 1374, 34
1375, 1375, 34
1376, 1376, 34
1377, 1377, 184
1378, 1378, 34
1379, 1379, 34
1380, 1380, 34
1381, 1381, 36
1382, 1382, 34
1383, 1383, 34
1384, 1384, 34
1385, 1385, 185
1386, 1386, 34
1387, 1387, 34
1388, 1388, 34
1389, 1389, 36
1390, 1390, 34
1391, 1391, 34
1392, 1392, 34
1393, 1393, 186
1394, 1394, 34
1395, 1395, 34
1396, 1396, 34
1397, 1397, 36
1398, 1398, 34
1399, 1399, 34
1400, 1400, 34
1401, 1401, 185
1402, 1402, 34
1403, 1403, 34
1404, 1404, 34
1405, 1405, 36
1406, 1406, 34
1407, 1407, 34
1408, 1408, 34
1409, 1409, 193
1410, 1410, 34
1411, 1411, 34
1412, 1412, 34
1413, 1413, 36
1414, 1414, 34
1415, 1415, 34
1416, 1416, 34
1417, 1417, 193
1418, 1418, 34
1419, 1419, 34
1420, 1420, 34
1421, 1421, 36
1422, 1422, 34
1423, 1423, 34
1424, 1424, 34
1425, 1425, 194
1426, 1426, 34
1427, 1427, 34
1428, 1428, 34
1429, 1429, 36
1430, 1430, 34
1431, 1431, 34
1432, 1432, 34
1433, 1433, 194
1434, 1434, 34
1435, 1435, 34
1436, 1436, 34
1437, 1437, 36
1438, 1438, 34
1439, 1439, 34
1440, 1440, 34
1441, 1441, 194
1442, 1442, 34
1443, 1443, 34
1444, 1444, 34
1445, 1445, 36
1446, 1446, 34
1447, 1447, 34
1448, 1448, 34
1449, 1449, 193
1450, 1450, 34
1451, 1451, 34
1452, 1452, 34
1453, 1453, 36
1454, 1454, 34
1455, 1455, 34
1456, 1456, 34
1457, 1457, 194
1458, 1458, 34
1459, 1459, 34
1460, 1460, 34
1461, 1461, 36
1462, 1462, 34
1463, 1463, 34
1464, 1464, 34
1465, 1465, 194
1466, 1466, 34
1467, 1467, 34
1468, 1468, 34
1469, 1469, 36
1470, 1470, 34
1471, 1471, 34
1472, 1472, 34
1473, 1473, 185
1474, 1474, 34
1475, 1475, 34
1476, 1476, 34
1477, 1477, 36
1478, 1478, 34
1479, 1479, 34
1480, 1480, 34
1481, 1481, 185
1482, 1482, 34
1483, 1483, 34
1484, 1484, 34
1485, 1485, 36
1486, 1486, 34
1487, 1487, 34
1488, 1488, 34
1489, 1489, 184
1490, 1490, 34
1491, 1491, 34
1492, 1492, 34
1493, 1493, 36
1494, 1494, 34
1495, 1495, 34
1496, 1496, 34
1497, 1497, 185
1498, 1498, 34
1499, 1499, 34
1500, 1500, 34
1501, 1501, 36
1502, 1502, 34
1503, 1503, 34
1504, 1504, 34
1505, 1505, 185
1506, 1506, 34
1507, 1507, 34
1508, 1508, 34
1509, 1509, 36
1510, 1510, 34
1511, 1511, 34
1512, 1512, 34
1513, 1513, 185
1514, 1514, 34
1515, 1515, 34
1516, 1516, 34
1517, 1517, 36
1518, 1518, 34
1519, 1519, 34
1520, 1520, 34
1521, 1521, 186
1522, 1522, 34
1523, 1523, 34
1524, 1524, 34
1525, 1525, 36
1526, 1526, 34
1527, 1527, 34
1528, 1528, 34
1529, 1529, 186
1530, 1530, 34
1531, 1531, 34
1532, 1532, 34
1533, 1533, 36
1534, 1534, 34
1535, 1535, 34
1536, 1536, 34
1537, 1537, 195
1538, 1538, 34
1539, 1539, 34
1540, 1540, 34
1541, 1541, 36
1542, 1542, 34
1543, 1543, 34
1544, 1544, 34
1545, 1545, 195
1546, 1546, 34
1547, 1547, 34
1548, 1548, 34
1549, 1549, 36
1550, 1550, 34
1551, 1551, 34
1552, 1552, 34
1553, 1553, 196
1554, 1554, 34
1555, 1555, 34
1556, 1556, 34
1557, 1557, 36
1558, 1558, 34
1559, 1559, 34
1560, 1560, 34
1561, 1561, 195
1562, 1562, 34
1563, 1563, 34
1564, 1564, 34
1565, 1565, 36
1566, 1566, 34
1567, 1567, 34
1568, 1568, 34
1569, 1569, 196
1570, 1570, 34
1571, 1571, 34
1572, 1572, 34
1573, 1573, 36
1574, 1574, 34
1575, 1575, 34
1576, 1576, 34
1577, 1577, 196
1578, 1578, 34
1579, 1579, 34
1580, 1580, 34
1581, 1581, 36
1582, 1582, 34
1583, 1583, 34
1584, 1584, 34
1585, 1585, 196
1586, 1586, 34
1587, 1587, 34
1588, 1588, 34
1589, 1589, 36
1590, 1590, 34
1591, 1591, 34
1592, 1592, 34
1593, 1593, 196
1594, 1594, 34
1595, 1595, 34
1596, 1596, 34
